Earn Poll,,,,,,,,,,,,Spend (offer info)Amazon GiftCard,,,,,,,,
WalletAddress,Brand,OfferName = internal identifier for noa,Amount,Title = MarketPlace title 14 characters,Description = MarketPlace subtitle 18 characters,Image,OrderTitle = (transactions page),OrderDescription = (transactions page),CapTotal = Offer cap total,CapPerUser = Offer cap per user,PollQuestionId,PollPageType,PollTitle 38 characters,PollRewardText 24 characters,PollRewardValue,PollDescription 24 characters (including the Kin number amount),PollAnswer1 = #1 : 22 each answer.,PollAnswer2 =  #2 : 22 each answer.,PollAnswer3 =  #3 : 22 each answer.,PollAnswer4 =  #4:  22 each answer.
,,,,,,,,,,,3,FullPageMultiChoice,What type of gift card would you like?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Amazon,Movie tickets,Restaurants,Beauty
,,,,,,,,,,,4,FullPageMultiChoice,Would you recommend it to a friend?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,For sure!,I probably will,I'm not sure,I don't think so...
,,,,,,,,,,,5,FullPageMultiChoice,What do you like best about it?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Completing polls,Getting Kin,The gift cards,Trying something new
,,,,,,,,,,,,EarnThankYou,,${amount},${amount},${amount},,,,
GAFN4KBWYIXQDCBTADICHKSIBIV7NYY67GREXTHMZPMQRGBDZCT3CKOD,Kik,Kik Poll #1,30,Answer a poll,Share your view,https://cdn.kinecosystem.com/thumbnails/offers/kik_poll.png,Poll,Completed,1000,1,1,FullPageMultiChoice,Who do you chat with the most on Kik?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,New friends I meet on Kik,Friends I met other places online,Friends I know in real life,An equal mix of all three!
,,,,,,,,,,,2,FullPageMultiChoice,Which of these do you use most on Kik?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Video chat,Stickers and Gifs,Emojis,Kik custom emojis
,,,,,,,,,,,3,FullPageMultiChoice,What would you imporove about Kik?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Video chat,Public groups,Privacy settings,Speed/Reliability
,,,,,,,,,,,4,FullPageMultiChoice,What's your favorite thing to do on Kik?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Chatting 1:1 with friends,Using chat bots,Chatting 1:1 with new people,Group chats
,,,,,,,,,,,5,FullPageMultiChoice,How did you first hear about Kik?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Friends/Family,Social media,Website/Search engine,Ads
,,,,,,,,,,,,EarnThankYou,,${amount},${amount},${amount},,,,
GDNJRI53DAO63JXQE2COPUDE3B3B6V5GGIIGE5QE4VZQZ5S2EHXHMZ6E,Kin,Generic Poll #340,20,Favorites,Let us know!,https://cdn.kinecosystem.com/thumbnails/offers/earn-cover-images-v2/favorites.png,Poll,Completed,1000,1,1,FullPageMultiChoice,Choose your favorite city,,,,San Francisco,New York City,Miami,Austin
,,,,,,,,,,,2,FullPageMultiChoice,Choose your favorite flower,,,,Rose,Daffodil,Petunia,Daisy
,,,,,,,,,,,3,FullPageMultiChoice,Choose your favorite brand of candy,,,,Nestle,Hershey,Wonka,Wrigley
,,,,,,,,,,,4,FullPageMultiChoice,Choose your favorite movie monster,,,,Vampire,Frankenstein,Godzilla,Mummy
,,,,,,,,,,,,EarnThankYou,,,,,,,,
