Earn Tutorial,,,,,,,,,,,,,,PollRewardValue,,,
WalletAddress,Brand,OfferName = internal identifier for noa,Amount,Title = MarketPlace title 14 characters,Description = MarketPlace subtitle 18 characters,Image,OrderTitle = (transactions page),OrderDescription = (transactions page),CapTotal = Offer cap total,CapPerUser = Offer cap per user,PollPageType,PollTitle = 38 characters,PollRewardText = 24 characters,${amount},PollBodyHtml = max characters?,PollImage,PollButtonText
GDNJRI53DAO63JXQE2COPUDE3B3B6V5GGIIGE5QE4VZQZ5S2EHXHMZ6E,Kin,Kin Tutorial #1,130,About Kin,A quick tutorial,https://cdn.kinecosystem.com/thumbnails/offers/earn_offer3.png,Tutorial,Completed,5000,1,ImageAndText,How to earn/spend Kin?,Complete the tutorial and earn,${amount},Kin is a new way to get rewarded for your ideas and creativity. In the Kin Marketplace you easily earn Kin by completing quick tasks and spend it on your favorite brands.,https://s3.amazonaws.com/htmlpoll.kinecosystem.com/kinlogoTut%403x.png,Next
,,,,,,,,,,,ImageAndText,How to earn/spend Kin?,Complete the tutorial and earn,${amount},The Kin Marketplace is the central hub for all things Kin. Find all of the latest spend/earn opportunities and keep track of your balance in your very own super secure blockchain wallet.,https://s3.amazonaws.com/htmlpoll.kinecosystem.com/kinMarketplaceIcon%403x.png,Next
,,,,,,,,,,,ImageAndText,How to earn/spend Kin?,Complete the tutorial and earn,${amount},"Earning Kin is fast and fun. Just complete quick tasks like answering short surveys, watching a video, or reading a tutorial (like this one) to see your Kin start rolling in.",https://s3.amazonaws.com/htmlpoll.kinecosystem.com/walletsIcon%403x.png,Got it
,,,,,,,,,,,EarnThankYou,,${amount},${amount},,,
