Type,Key,Default,Translation,Character Limit
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[0].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[0].question.answers[0],My parents,Meus pais,22
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[0].question.answers[1],Younger brother or sister,Irmãos mais novos,22
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[0].question.answers[2],Everyone uses it,Todos usam,22
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[0].question.answers[3],Definitely not me,Com certeza não sou eu,22
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[1].title,How do you spend your free time?,Como você passa seu tempo livre?,38
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[1].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[1].question.answers[0],Hanging out with friends,Saindo com os amigos,22
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[1].question.answers[1],With my family,Com a minha família,22
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[1].question.answers[2],On my own,Sozinho(a),22
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[1].question.answers[3],Online,On-line,22
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[2].title,How much time do you spend online?,Quanto tempo você passa on-line?,38
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[2].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[2].question.answers[0],Over 2 hours a day ,Mais de 2 horas/dia ,22
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[2].question.answers[1],About an hour,Cerca de 1 hora,22
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[2].question.answers[2],As little as possible,Menos tempo possível,22
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[2].question.answers[3],Basically all day,Basicamente o dia todo,22
poll,offer_contents:OE4Ae7iPGd8cnNKHEKn6f:content:pages[3].description,${amount},${amount},24
poll,offer:OAPybjlSM5r68B7U2JnBj:title,Tell us more!,Conte mais!,14
poll,offer:OAPybjlSM5r68B7U2JnBj:description,Share your opinion,Diga sua opinião,18
poll,offer:OAPybjlSM5r68B7U2JnBj:orderTitle,Poll,Enquete,8
poll,offer:OAPybjlSM5r68B7U2JnBj:orderDescription,Completed,Concluído,24
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[0].title,Which of these brands is your favorite?,Qual destas marcas é sua favorita?,38
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[0].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[0].question.answers[0],Pixar,Pixar,22
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[0].question.answers[1],Converse,Converse,22
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[0].question.answers[2],Adidas,Adidas,22
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[0].question.answers[3],Apple,Apple,22
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[1].title,Which cause would you donate to?,Você doaria para qual causa?,38
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[1].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[1].question.answers[0],Wild life protection,Proteção dos animais,22
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[1].question.answers[1],Environmental causes,Causas ambientais,22
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[1].question.answers[2],Global poverty,Pobreza global,22
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[1].question.answers[3],Education,Educação,22
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[2].title,What gadgets do you own and love?,Quais gadgets você possui e gosta?,38
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[2].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[2].question.answers[0],Smartwatch,Smartwatch,22
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[2].question.answers[1],Just my phone,Só meu celular,22
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[2].question.answers[2],Game console,Videogame,22
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[2].question.answers[3],VR,Realidade virtual,22
poll,offer_contents:OAPybjlSM5r68B7U2JnBj:content:pages[3].description,${amount},${amount},24
poll,offer:OnRejq0666JhE0alF7riq:title,Do you like..,Você gosta...,14
poll,offer:OnRejq0666JhE0alF7riq:description,More about you!,Mais sobre você!,18
poll,offer:OnRejq0666JhE0alF7riq:orderTitle,Poll,Enquete,8
poll,offer:OnRejq0666JhE0alF7riq:orderDescription,Completed,Concluído,24
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[0].title,How do you like to stay fit?,Como você gosta de manter a forma?,38
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[0].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[0].question.answers[0],Running,Corrida,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[0].question.answers[1],Swimming,Natação,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[0].question.answers[2],Biking,Ciclismo,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[0].question.answers[3],Going to the gym,Academia,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[1].title,How would you spend your spring break?,Como passaria o recesso escolar?,38
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[1].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[1].question.answers[0],Sleeping,Dormindo,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[1].question.answers[1],Travelling abroad,Viajando ao exterior,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[1].question.answers[2],Working,Trabalhando,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[1].question.answers[3],With friends,Com amigos,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[2].title,Where would you go for a vacation?,Onde você iria nas férias?,38
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[2].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[2].question.answers[0],Tropical island,Ilha tropical,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[2].question.answers[1],Camping in the woods,Acampar na floresta,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[2].question.answers[2],City break,Passeio pela cidade,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[2].question.answers[3],Skiing,Esquiar,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[3].title,How would you describe yourself?,Como você se descreveria?,38
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[3].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[3].question.answers[0],A city person,Pessoa da cidade,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[3].question.answers[1],A country person,Pessoa do campo,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[3].question.answers[2],A little of both,Um pouco de ambos,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[3].question.answers[3],A pirate,Um pirata,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[4].title,Favorite way to spend a Saturday,Maneira favorita de passar um sábado,38
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[4].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[4].question.answers[0],Netflix and chill,Netflix e relaxar,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[4].question.answers[1],Spending time with friends,Encontro com os amigos,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[4].question.answers[2],Going out,Sair,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[4].question.answers[3],Instagram and Facebook,Instagram e Facebook,22
poll,offer_contents:OnRejq0666JhE0alF7riq:content:pages[5].description,${amount},${amount},24
quiz,offer:OKfksD5VBD6eYKXisdlzW:title,Take a quiz,Faça um teste,14
quiz,offer:OKfksD5VBD6eYKXisdlzW:description,Literature,Literatura,18
quiz,offer:OKfksD5VBD6eYKXisdlzW:orderTitle,Quiz,Teste,8
quiz,offer:OKfksD5VBD6eYKXisdlzW:orderDescription,Completed,Concluído,24
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[0].description,Which phrase is not from Shakespeare?,Qual frase não é de Shakespeare?,66
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[0].question.answers[0],"""a long shot""","""a long shot""",22
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[0].question.answers[1],"""wild goose chase""","""wild goose chase""",22
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[0].question.answers[2],"""foregone conclusion""","""foregone conclusion""",22
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[0].question.answers[3],"""in a pickle""","""in a pickle""",22
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[1].description,Which author used a moniker instead of their real name?,Qual autor usou um apelido em vez de seu nome real?,66
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[1].question.answers[0],Jack Kerouac,Jack Kerouac,22
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[1].question.answers[1],Sylvia Plath,Sylvia Plath,22
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[1].question.answers[2],Rachel Carson,Rachel Carson,22
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[1].question.answers[3],Mark Twain,Mark Twain,22
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[2].description,What is the most printed book in the world?,Qual é o livro mais impresso do mundo?,66
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[2].question.answers[0],The Bible,Bíblia,22
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[2].question.answers[1],Tale of Two Cities,Tale of Two Cities,22
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[2].question.answers[2],Romeo & Juliet,Romeu e Julieta,22
quiz,offer_contents:OKfksD5VBD6eYKXisdlzW:content:pages[2].question.answers[3],The Little Prince,O Pequeno Príncipe,22
quiz,offer:OIJUldcgBk8edq0pvaoMH:title,Take a quiz,Faça um teste,14
quiz,offer:OIJUldcgBk8edq0pvaoMH:description,Fashion,Moda,18
quiz,offer:OIJUldcgBk8edq0pvaoMH:orderTitle,Quiz,Teste,8
quiz,offer:OIJUldcgBk8edq0pvaoMH:orderDescription,Completed,Concluído,24
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[0].description,What city is known as the world of fashion?,Qual cidade é conhecida como o mundo da moda?,66
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[0].question.answers[0],Tokyo,Tóquio,22
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[0].question.answers[1],New York,Nova York,22
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[0].question.answers[2],Paris,Paris,22
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[0].question.answers[3],Amsterdam,Amsterdam,22
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[1].description,How do you call a sample piece of cloth?,Como você chama um pedaço de pano?,66
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[1].question.answers[0],Thread,Trama,22
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[1].question.answers[1],Nib,Bico,22
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[1].question.answers[2],Swatch,Amostra,22
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[1].question.answers[3],Tester,Provador,22
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[2].description,Wht is the top seeling fashion magazine?,Qual é a revista de moda mais vendida?,66
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[2].question.answers[0],Seventeen,Seventeen,22
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[2].question.answers[1],Vogue,Vogue,22
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[2].question.answers[2],Cosmopolitan,Cosmopolitan,22
quiz,offer_contents:OIJUldcgBk8edq0pvaoMH:content:pages[2].question.answers[3],Vanity Fair,Vanity Fair,22
quiz,offer:OEIPOCm2n5UZpnu5LhklP:title,Take a quiz,Faça um teste,14
quiz,offer:OEIPOCm2n5UZpnu5LhklP:description,Ancient Wonders,Maravilhas antigas,18
quiz,offer:OEIPOCm2n5UZpnu5LhklP:orderTitle,Quiz,Teste,8
quiz,offer:OEIPOCm2n5UZpnu5LhklP:orderDescription,Completed,Concluído,24
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[0].description,What is oldest of the 7 ancient wonders?,Qual é a mais antiga das 7 maravilhas do mundo antigo?,66
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[0].question.answers[0],Hanging Gardens,Jardins Suspensos,22
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[0].question.answers[1],Colossus of Rhodes,Colosso de Rodes,22
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[0].question.answers[2],Statue of Zeus,Estátua de Zeus,22
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[0].question.answers[3],Great Pyramid at Giza,Pirâmide de Gizé,22
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[1].description,What language wasn't on the Rosetta stone?,Que língua não estava na pedra de Roseta?,66
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[1].question.answers[0],Egyptian heiroglyphics,Hieróglifos egípcios,22
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[1].question.answers[1],Aramaic,Aramaico,22
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[1].question.answers[2],Ancient Greek,Grego Antigo,22
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[1].question.answers[3],Demotic Script,Escrita Demótica,22
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[2].description,What year were the Terracotta statues discovered?,Em que ano as estátuas de terracota foram descobertas?,66
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[2].question.answers[0],1974,1974,22
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[2].question.answers[1],1865,1865,22
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[2].question.answers[2],2010,2010,22
quiz,offer_contents:OEIPOCm2n5UZpnu5LhklP:content:pages[2].question.answers[3],1910,1910,22
quiz,offer:Ojx7soYATNUGzCBqSU8aL:title,Take a quiz,Faça um teste,14
quiz,offer:Ojx7soYATNUGzCBqSU8aL:description,iPhone,iPhone,18
quiz,offer:Ojx7soYATNUGzCBqSU8aL:orderTitle,Quiz,Teste,8
quiz,offer:Ojx7soYATNUGzCBqSU8aL:orderDescription,Completed,Concluído,24
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[0].description,Apple's iPhone was originally going to be called,O iPhone da Apple originalmente se chamaria,66
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[0].question.answers[0],Purple,Roxa,22
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[0].question.answers[1],Blue Ginger,Blue Ginger,22
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[0].question.answers[2],Uno,Uno,22
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[0].question.answers[3],TouchPhone,TouchPhone,22
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[1].description,How many iPhones were sold in the first 10 years?,Quantos iPhones foram vendidos nos primeiros 10 anos?,66
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[1].question.answers[0],880 Million,880 Milhões,22
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[1].question.answers[1],999 Million,999 Milhões,22
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[1].question.answers[2],1.2 Billion,"1,2 Bilhões",22
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[1].question.answers[3],2.3 Billion,"2,3 Bilhões",22
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[2].description,When was the App Store first debuted,Quando a App Store foi lançada pela primeira vez,66
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[2].question.answers[0],2009,2009,22
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[2].question.answers[1],2010,2010,22
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[2].question.answers[2],2007,2007,22
quiz,offer_contents:Ojx7soYATNUGzCBqSU8aL:content:pages[2].question.answers[3],2008,2008,22
quiz,offer:Ou1rulFaxGY4hF33fkvYi:title,Take a quiz,Faça um teste,14
quiz,offer:Ou1rulFaxGY4hF33fkvYi:description,Volcanoes,Vulcões,18
quiz,offer:Ou1rulFaxGY4hF33fkvYi:orderTitle,Quiz,Teste,8
quiz,offer:Ou1rulFaxGY4hF33fkvYi:orderDescription,Completed,Concluído,24
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[0].description,About how many active volcanoes are there worldwide?,Quantos vulcões ativos existem no mundo?,66
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[0].question.answers[0],2000,2000,22
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[0].question.answers[1],1500,1500,22
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[0].question.answers[2],4200,4200,22
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[0].question.answers[3],800,800,22
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[1].description,Most active volcanoes are located in the...,Os vulcões mais ativos estão localizados no...,66
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[1].question.answers[0],Indian Ocean,Oceano índico,22
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[1].question.answers[1],Caribbean,Caribe,22
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[1].question.answers[2],Pacific Ocean,Oceano pacífico,22
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[1].question.answers[3],Persian Gulf,Golfo Persa,22
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[2].description,This high concentration of volcanoes is called...,Esta alta concentração de vulcões é chamada de...,66
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[2].question.answers[0],Area 51,Área 51,22
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[2].question.answers[1],The Ring of Fire,Anel de Fogo,22
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[2].question.answers[2],Bermuda Triangle,Triângulo das Bermudas,22
quiz,offer_contents:Ou1rulFaxGY4hF33fkvYi:content:pages[2].question.answers[3],Devil's Sea,Mar do diabo,22
poll,offer:OFBW2tksPchdusFmCPG3z:title,Answer a poll,Resp. enquete,14
poll,offer:OFBW2tksPchdusFmCPG3z:description,What's your take?,Qual sua opinião?,18
poll,offer:OFBW2tksPchdusFmCPG3z:orderTitle,Poll,Enquete,8
poll,offer:OFBW2tksPchdusFmCPG3z:orderDescription,Completed,Concluído,24
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[0].title,What are your career aspirations?,Quais são suas aspirações de carreira?,38
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[0].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[0].question.answers[0],Find a great company to work for,Cargo em boa empresa,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[0].question.answers[1],Have my own startup,Ter a própria startup,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[0].question.answers[2],Work freelance,Autônomo,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[0].question.answers[3],Retire ASAP,Aposentadoria urgente,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[1].title,As President I would fight for,"Como presidente, eu lutaria por",38
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[1].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[1].question.answers[0],Education,Educação,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[1].question.answers[1],Health care,Cuidados com a saúde,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[1].question.answers[2],Data privacy laws,Privacidade dos dados,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[1].question.answers[3],The right to party!,Direito de festejar!,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[2].title,What would you do with an extra year?,O que você faria com um ano extra?,38
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[2].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[2].question.answers[0],Sleep,Dormir,
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[2].question.answers[1],Volunteer,Trabalho voluntário,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[2].question.answers[2],Study something new,Estudar algo novo,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[2].question.answers[3],Travel ,Viajar ,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[3].title,Which of these will happpen first?,Qual destes acontecerá primeiro?,38
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[3].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[3].question.answers[0],Flying cars,Carros voadores,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[3].question.answers[1],Space tourism,Turismo espacial,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[3].question.answers[2],Underwater cities,Cidades subaquáticas,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[3].question.answers[3],Human like robots,Robôs humanoides,22
poll,offer_contents:OFBW2tksPchdusFmCPG3z:content:pages[4].description,${amount},${amount},24
poll,offer:OULCYPgEJlcS0i9QKlMiE:title,Big spender?,Gastador?,14
poll,offer:OULCYPgEJlcS0i9QKlMiE:description,Tell us more!,Conte mais!,18
poll,offer:OULCYPgEJlcS0i9QKlMiE:orderTitle,Poll,Enquete,8
poll,offer:OULCYPgEJlcS0i9QKlMiE:orderDescription,Completed,Concluído,24
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[0].title,How much would you save to go to Mars?,Quanto economizaria para ir à Marte?,38
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[0].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[0].question.answers[0],Every penny I can,Cada centavo,22
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[0].question.answers[1],$5 a day,$ 5 por dia,22
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[0].question.answers[2],$1 a week,$ 1 por semana,22
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[0].question.answers[3],Not for me,Não gostei,
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[1].title,What do you spend your money on?,Com o que você gasta seu dinheiro?,38
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[1].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[1].question.answers[0],Food + drinks,Comida e bebidas,22
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[1].question.answers[1],Music,Música,22
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[1].question.answers[2],Clothes,Roupas,22
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[1].question.answers[3],Video games,Videogames,22
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[2].title,For $5 I would,Por $ 5 eu toparia...,38
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[2].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[2].question.answers[0],Complete a few polls,Responder enquetes,22
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[2].question.answers[1],Share a post on Facebook,Publicar no Facebook,22
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[2].question.answers[2],Invite 5 friends to join Kik,Chamar 5 amigos ao Kik,22
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[2].question.answers[3],Watch a bunch of commercials,Ver muitos comerciais,22
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[3].title,Amazon gift card vs pizza with friends,Vale compras Amazon X Pizza com amigos,38
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[3].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[3].question.answers[0],Gift card,Vale compras,22
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[3].question.answers[1],Yummy pizza,Pizza gostosa,22
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[3].question.answers[2],Neither,Nenhuma das alternativas,
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[3].question.answers[3],Can I have both?,Posso ter os dois?,22
poll,offer_contents:OULCYPgEJlcS0i9QKlMiE:content:pages[4].description,${amount},${amount},24
poll,offer:ODqj6MK7iqcGpW0i0KDTS:title,Take a survey,Fazer pesquisa,14
poll,offer:ODqj6MK7iqcGpW0i0KDTS:description,What�s your view?,Qual a sua visão?,18
poll,offer:ODqj6MK7iqcGpW0i0KDTS:orderTitle,Poll,Enquete,8
poll,offer:ODqj6MK7iqcGpW0i0KDTS:orderDescription,Completed,Concluído,24
poll,offer_contents:ODqj6MK7iqcGpW0i0KDTS:content:pages[0].title,How would you rate the Kin Marketplace?,O que acha do Kin Marketplace?,38
poll,offer_contents:ODqj6MK7iqcGpW0i0KDTS:content:pages[0].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
