Earn Tutorial,,,,,,,,,,,,,,,,
WalletAddress,Brand,OfferName = internal identifier for noa,Amount,Title = MarketPlace title 14 characters,Description = MarketPlace subtitle 18 characters,Image,OrderTitle = (transactions page),OrderDescription = (transactions page),CapTotal = Offer cap total ,CapPerUser = Offer cap per user,PollPageType,PollTitle = 38 characters,PollFooterHtml = 24 characters (including the Kin number amount),PollBodyHtml = max characters?,PollImage,PollButtonText
GATAQ2E2TE5H4I3TWLHP3YTCRCLF7YEF64VF2ZMIHPNT6YAJE3QHMWLQ,Kin,Kin Tutorial #1,60,About Kin,A quick tutorial,https://s3.amazonaws.com/kinmarketplace-assets/version1/earn_offer3.png,Kin Poll,Completed Tutorial,1000,1,ImageAndText,How to earn/spend Kin?,Complete the tutorial and earn ${amount} Kin,Kin is a new way to get rewarded for your ideas and creativity. In the Kin Marketplace you easily earn Kin by completing quick tasks and spend it on your favorite brands.,https://s3.amazonaws.com/htmlpoll.kinecosystem.com/kinlogoTut%403x.png,Next
,,,,,,,,,,,ImageAndText,How to earn/spend Kin?,Complete the tutorial and earn ${amount} Kin,"The Kin Marketplace is the central hub for all things kin. Find all of the latest spend and earn opportunities, keep track of your balance in your very own super secure blockchain wallet.",https://s3.amazonaws.com/htmlpoll.kinecosystem.com/kinMarketplaceIcon%403x.png,Next
,,,,,,,,,,,ImageAndText,How to earn/spend Kin?,Complete the tutorial and earn ${amount} Kin,"Earning Kin is fast and fun. Just complete quick tasks like answering short surveys, watching a video, or reading a tutorial (like this one) to see your Kin start rolling in.",https://s3.amazonaws.com/htmlpoll.kinecosystem.com/walletsIcon%403x.png,Got it
,,,,,,,,,,,EarnThankYou,,${amount},,,
