Spend Coupon = (offer info)Amazon GiftCard,,,,,,,,,,,,Coupon info (spend page),,,Confirm (thank you page),,,Order Content (receive code page),,,,,,Real codes - Do not use
WalletAddress,Brand,OfferName = internal identifier for noa,Amount,Title = MarketPlace title 24 characters,Description = MarketPlace subtitle 30 characters,Image,OrderTitle = 8 characters (transactions page),OrderDescription = 24 characters (transactions page),CapTotal = Offer cap total ,CapPerUser = Offer cap per user,OrderCallToAction = Order call to action #1 - Success - 20 characters,CouponImage,CouponTitle = 10 characters,CouponDescription = 40 characters,CouponConfirmImage,CouponConfirmTitle = 10 characters,CouponConfirmSubtitle = 40 characters,OrderContentImage,OrderContentTitle = 20 characters,OrderContentSubtitle - 14 characters,OrderContentHyperLink =14 characters,CouponCodes,,Internal - noa's list
